project,label,file_id,file_name,case_id,submitter_id
TCGA-BRCA,normal,84cff855-d17a-4c09-b432-53893ae69c1e,03d891b3-8faf-4384-94ce-2015f1ca5df0.rna_seq.augmented_star_gene_counts.tsv,33fe5833-d7a0-43d7-a03d-56985ea448a6,TCGA-GI-A2C8
TCGA-BRCA,normal,f599be9a-0cac-4441-905c-5a6c87e7bc8c,741fb6d6-364f-47a0-a262-f18235c48fc4.rna_seq.augmented_star_gene_counts.tsv,5d1d00c6-fcae-479e-ae1e-de76efd41d98,TCGA-BH-A0BW
TCGA-BRCA,normal,4f54add3-c33d-4bc9-9e1f-c75f52d15f1e,2e4316d2-5fe5-4ee1-9b22-73f4c42b6202.rna_seq.augmented_star_gene_counts.tsv,4aa68586-6331-4795-b40c-859386640df6,TCGA-BH-A1FE
TCGA-BRCA,normal,e4f49b9c-faed-4f15-a79c-79664e2c03b6,61a614bb-2249-4611-8aac-1a8e53d4467b.rna_seq.augmented_star_gene_counts.tsv,ecab16bc-28d5-4c3a-8735-3c785bd047c4,TCGA-BH-A1FB
TCGA-BRCA,normal,50721c97-1a23-405b-b7b3-2955e4c62e5a,00063026-2a67-41de-b105-f80dca277978.rna_seq.augmented_star_gene_counts.tsv,a8b1f6e7-2bcf-460d-b1c6-1792a9801119,TCGA-E9-A1NF
TCGA-BRCA,normal,0d11c50a-8648-48ea-a107-e138a1d3e086,bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv,ee554215-bea2-4268-aaf9-784e68cdb969,TCGA-BH-A1F8
TCGA-BRCA,normal,c95841fa-ea90-4a12-99aa-5c342af9e0e8,4bd484be-2364-4a9c-841e-b60bee25af79.rna_seq.augmented_star_gene_counts.tsv,5258294f-ef5b-4091-9183-6bcc545d54b2,TCGA-BH-A209
TCGA-BRCA,normal,2a18db7b-b054-4210-b8cb-a647c26f90c1,5dfb4024-ca51-4296-9fc7-0037b7b1e27b.rna_seq.augmented_star_gene_counts.tsv,dd3bfb26-b534-4917-9c4d-9fe7b6477762,TCGA-E9-A1RI
TCGA-BRCA,normal,d757b1cc-31a6-495a-ae82-c63b031ece49,898f9214-8dab-4b92-9233-70c06c60078c.rna_seq.augmented_star_gene_counts.tsv,ad18820b-a804-49c0-ba8a-86c09fa6bce2,TCGA-BH-A1F6
TCGA-BRCA,normal,9e056a2a-a643-478a-b96c-85d5221f487a,c6a90de3-979b-46b0-9f84-2875c1e38742.rna_seq.augmented_star_gene_counts.tsv,cb9f5e50-f49d-4899-8895-9367afcc1015,TCGA-A7-A0DC
TCGA-BRCA,normal,acfa0ea5-3345-4734-9917-d3acc10d1a15,9d515fd5-009a-4c32-95e7-042909d70b9f.rna_seq.augmented_star_gene_counts.tsv,9ddc3e7b-8b54-4a83-8335-8053940f56c1,TCGA-BH-A18L
TCGA-BRCA,normal,df416c2a-523d-4409-98ac-b0900584a065,bcbe88a9-729e-4af8-9bb8-1ac65aa4bd23.rna_seq.augmented_star_gene_counts.tsv,3c8b5af9-c34d-43c2-b8c9-39ea11e44fa6,TCGA-BH-A1FD
TCGA-BRCA,normal,046fe29e-7c99-4093-8565-f2f205a00796,61f811cf-9dc1-4f48-ad62-c3ebfd1f0847.rna_seq.augmented_star_gene_counts.tsv,c2aeee6c-ba10-4cf9-b560-c739580f7bf3,TCGA-BH-A0BM
TCGA-BRCA,normal,ccaa907b-71d5-467e-ace4-f2ea16109202,24c548e1-6368-464e-945c-933ee2f914ad.rna_seq.augmented_star_gene_counts.tsv,3ca67cd0-81da-4f68-a9fa-f1a8c013c28d,TCGA-AC-A2FF
TCGA-BRCA,normal,542856ab-164d-4edd-833a-925da96d1eeb,9c0696ab-2bd6-4372-8b10-8222816de48e.rna_seq.augmented_star_gene_counts.tsv,665dd3d3-779c-4abd-b5d7-13342340451d,TCGA-BH-A18N
TCGA-BRCA,normal,f63a40ad-26af-48d6-bb36-91fd91d32e6b,90a1bbd2-6b26-4d1c-b255-df5499d1da6c.rna_seq.augmented_star_gene_counts.tsv,bc0bc70f-c6cf-4dbc-9dc3-8b7bc5f381a4,TCGA-E2-A1IG
TCGA-BRCA,normal,96e54b36-0b71-4ad0-9b21-72668708fc62,b7ef29ba-06f6-4445-8c70-52388892388c.rna_seq.augmented_star_gene_counts.tsv,955d4263-61f7-42e8-8a6e-772a0d6c209d,TCGA-E9-A1N6
TCGA-BRCA,normal,b9bdb9d3-4d2b-4a53-9804-d0511174e553,49e456c9-c47b-4663-bf6f-9f8f4e4e71a5.rna_seq.augmented_star_gene_counts.tsv,9de678e5-67ed-4453-a98b-7ac351d5d0f1,TCGA-A7-A0CH
TCGA-BRCA,normal,23bf74db-bb4e-44c5-8473-e651b818e460,308e15c9-16b0-4f24-b9dc-e9dc91038579.rna_seq.augmented_star_gene_counts.tsv,9d95a65b-e41d-4f93-92d4-99dce29ff40d,TCGA-A7-A0CE
TCGA-BRCA,normal,2d75b6a1-0f93-4c6a-9554-73a214969c6b,1cbbe329-a471-425e-b14d-e9043fce6926.rna_seq.augmented_star_gene_counts.tsv,69a68fbc-e43d-4652-85ee-693211bded47,TCGA-E9-A1N4
TCGA-BRCA,normal,040d00da-2bc9-49d4-bf6c-b4515b6a2bbf,d4f91697-1c39-4398-bf2f-85217a22ddff.rna_seq.augmented_star_gene_counts.tsv,6b960b58-28e1-41c6-bd6e-7e669c6aa4ef,TCGA-BH-A18V
TCGA-BRCA,normal,a04fdd52-6d4c-4dc6-b63d-fa67ecfe4744,d7d4b68a-ab93-4b9c-9cf6-88f15299e306.rna_seq.augmented_star_gene_counts.tsv,be9bf36a-12e1-4386-addf-1686dc8b49de,TCGA-E2-A153
TCGA-BRCA,normal,f45af277-1f94-4cdd-97d4-8ccdbd7ff18e,a41a8b37-2a35-487f-8a4d-ffa0f31b7839.rna_seq.augmented_star_gene_counts.tsv,7dcf550c-90ce-4f63-aecd-0e46897e2a3e,TCGA-AC-A23H
TCGA-BRCA,normal,ccb87d7a-2729-4017-bc17-10e5a67bd5cc,0557d817-20e0-496f-840a-7a15d6da1694.rna_seq.augmented_star_gene_counts.tsv,59be60a3-e0f6-4d63-b98c-574ef92428c4,TCGA-E2-A15M
TCGA-BRCA,normal,50260fba-c435-480a-9bb8-f2839ba499a4,1d390e7f-bbbb-45b5-9466-d199f19106b2.rna_seq.augmented_star_gene_counts.tsv,8c7e74e0-71ef-49b8-9217-94b8ef740ef9,TCGA-A7-A13E
TCGA-BRCA,normal,9e5ecae5-faf0-41a2-a795-d1b4db79486a,a4cf670f-1627-42cf-9917-fc2c89708353.rna_seq.augmented_star_gene_counts.tsv,91a2f2af-e4b1-4a0b-ab20-6a36ce63c533,TCGA-E2-A1LS
